Job Title,Cleaned_Job_Skills
COMPUTER NETWORK SPECIALIST,"['networking', 'troubleshooting', 'system', 'administration', 'security']"
COMPUTER AND INFORMATION RESEARCH SCIENTIST,"['research', 'methodology', 'data', 'analysis', 'programming', 'scientific', 'writing']"
COMPUTER AND INFORMATION RESEARCH MANAGER,"['research', 'management', 'team', 'leadership', 'budgeting', 'project', 'management']"
SOFTWARE DEVELOPMENT MANAGER,"['software', 'development', 'team', 'leadership', 'project', 'management', 'software', 'architecture']"
SOFTWARE DEVELOPMENT ENGINEER,"['software', 'development', 'programming', 'language', 'algorithm', 'design', 'problem', 'solving']"
APPLICATION DESIGNER,"['application', 'design', 'uiux', 'principle', 'programming', 'language', 'software', 'architecture']"
APPLICATION ENGINEER,"['application', 'development', 'programming', 'language', 'troubleshooting', 'system', 'administration']"
LEAD PROGRAMMER,"['programming', 'language', 'software', 'development', 'team', 'leadership', 'mentoring']"
ITERATION MANAGER,"['agile', 'methodology', 'scrum', 'kanban', 'team', 'facilitation']"
WEBMASTER,"['web', 'development', 'web', 'design', 'system', 'administration', 'content', 'management']"
UX/UI RESEARCHER,"['user', 'research', 'usability', 'testing', 'data', 'analysis', 'reporting']"
UX/UI SPECIALIST,"['uxui', 'design', 'user', 'research', 'prototyping', 'usability', 'testing']"
ANIMATOR,"['animation', 'software', '2d3d', 'animation', 'storyboarding', 'visual', 'effect']"
MOTION GRAPHICS ARTIST,"['motion', 'graphic', 'animation', 'software', 'visual', 'effect', 'graphic', 'design']"
2D ARTIST/ANIMATOR,"['2d', 'animation', 'drawing', 'illustration', 'animation', 'software']"
3D ARTIST/ANIMATOR,"['3d', 'animation', 'modeling', 'texturing', 'rigging']"
CHARACTER DESIGNER,"['character', 'design', 'illustration', 'drawing', 'animation']"
STORYBOARD ARTIST,"['storyboarding', 'drawing', 'visual', 'communication', 'filmanimation']"
VFX ARTIST,"['visual', 'effect', 'compositing', '3d', 'modeling', 'simulation']"
RIGGING ARTIST,"['rigging', 'animation', '3d', 'modeling', 'character', 'setup']"
TECHNICAL ANIMATOR,"['technical', 'animation', 'scripting', 'programming', 'animation', 'software']"
ART DIRECTOR,"['art', 'direction', 'visual', 'design', 'team', 'leadership', 'project', 'management']"
ANIMATION DIRECTOR,"['animation', 'direction', 'storytelling', 'team', 'leadership', 'project', 'management']"
VISUAL EFFECTS ANIMATOR,"['visual', 'effect', 'animation', 'compositing', '3d', 'modeling']"
GRAPHIC EFFECTS SUPERVISOR,"['visual', 'effect', 'supervision', 'team', 'leadership', 'technical', 'expertise', 'project', 'management']"
FORENSIC ANIMATOR,"['forensic', 'animation', '3d', 'modeling', 'legal', 'expertise', 'visual', 'communication']"
COMPOSITOR,"['compositing', 'visual', 'effect', 'color', 'correction', 'image', 'manipulation']"
EFFECTS TECHNICAL DIRECTOR (FX TD),"['visual', 'effect', 'technical', 'expertise', 'scripting', 'problem', 'solving']"
LAYOUT ARTIST,"['layout', 'cinematography', '3d', 'modeling', 'visual', 'storytelling']"
AI RESEARCHER,"['aiml', 'algorithm', 'python', 'research', 'methodology', 'data', 'analysis']"
AI SOFTWARE ARCHITECT,"['aiml', 'architecture', 'software', 'design', 'cloud', 'computing', 'data', 'modeling']"
BUSINESS INTELLIGENCE DEVELOPER,"['business', 'intelligence', 'tool', 'data', 'modeling', 'sql', 'etl', 'process']"
SOFTWARE ENGINEER,"['python', 'java', 'c', 'c++', 'software', 'algorithms', 'git', 'cloud', 'aws', 'docker', 'kubernetes', 'ci/cd', 'sql', 'node.js']"
AI ENGINEER,"['machine learning', 'python', 'tensorflow', 'keras', 'deep learning', 'ai', 'pytorch', 'scikit-learn', 'data science', 'numpy', 'pandas', 'data engineering', 'big data', 'hadoop']"
FRONTEND DEVELOPER,"['html', 'css', 'javascript', 'react', 'angular', 'vue', 'css3', 'html5', 'responsive design', 'redux', 'webpack', 'typescript']"
BACKEND DEVELOPER,"['node.js', 'python', 'java', 'sql', 'mongodb', 'postgresql', 'docker', 'kubernetes', 'express', 'microservices', 'rest-api', 'graphql-api']"
MOBILE DEVELOPER (iOS/Android),"['swift', 'kotlin', 'android', 'ios', 'mobile development', 'flutter', 'xcode', 'android studio', 'mobile', 'react native', 'firebase', 'apis']"
